doc1,doc2,label

ml_orig_01.txt,ml_copy_01.txt,1
ml_orig_01.txt,ml_para_01.txt,1
ml_orig_01.txt,ml_ind_01.txt,0
ml_copy_01.txt,ml_para_01.txt,1
ml_copy_01.txt,ml_ind_01.txt,0
ml_para_01.txt,ml_ind_01.txt,0

ml_orig_02.txt,ml_copy_02.txt,1
ml_orig_02.txt,ml_para_02.txt,1
ml_orig_02.txt,ml_ind_02.txt,0
ml_copy_02.txt,ml_para_02.txt,1
ml_copy_02.txt,ml_ind_02.txt,0
ml_para_02.txt,ml_ind_02.txt,0

ml_orig_01.txt,ml_orig_02.txt,0
ml_para_01.txt,ml_para_02.txt,0
ml_copy_01.txt,ml_copy_02.txt,0

cs_orig_01.txt,cs_copy_01.txt,1
cs_orig_01.txt,cs_para_01.txt,1
cs_orig_01.txt,cs_ind_01.txt,0
cs_copy_01.txt,cs_para_01.txt,1
cs_copy_01.txt,cs_ind_01.txt,0
cs_para_01.txt,cs_ind_01.txt,0

cs_orig_02.txt,cs_copy_02.txt,1
cs_orig_02.txt,cs_para_02.txt,1
cs_orig_02.txt,cs_ind_02.txt,0
cs_copy_02.txt,cs_para_02.txt,1
cs_copy_02.txt,cs_ind_02.txt,0
cs_para_02.txt,cs_ind_02.txt,0

cs_orig_01.txt,cs_orig_02.txt,0
cs_para_01.txt,cs_para_02.txt,0
cs_copy_01.txt,cs_copy_02.txt,0

db_orig_01.txt,db_copy_01.txt,1
db_orig_01.txt,db_para_01.txt,1
db_orig_01.txt,db_ind_01.txt,0
db_copy_01.txt,db_para_01.txt,1
db_copy_01.txt,db_ind_01.txt,0
db_para_01.txt,db_ind_01.txt,0

db_orig_02.txt,db_copy_02.txt,1
db_orig_02.txt,db_para_02.txt,1
db_orig_02.txt,db_ind_02.txt,0
db_copy_02.txt,db_para_02.txt,1
db_copy_02.txt,db_ind_02.txt,0
db_para_02.txt,db_ind_02.txt,0

db_orig_01.txt,db_orig_02.txt,0
db_para_01.txt,db_para_02.txt,0
db_copy_01.txt,db_copy_02.txt,0

nw_orig_01.txt,nw_copy_01.txt,1
nw_orig_01.txt,nw_para_01.txt,1
nw_orig_01.txt,nw_ind_01.txt,0
nw_copy_01.txt,nw_para_01.txt,1
nw_copy_01.txt,nw_ind_01.txt,0
nw_para_01.txt,nw_ind_01.txt,0

nw_orig_02.txt,nw_copy_02.txt,1
nw_orig_02.txt,nw_para_02.txt,1
nw_orig_02.txt,nw_ind_02.txt,0
nw_copy_02.txt,nw_para_02.txt,1
nw_copy_02.txt,nw_ind_02.txt,0
nw_para_02.txt,nw_ind_02.txt,0

nw_orig_01.txt,nw_orig_02.txt,0
nw_para_01.txt,nw_para_02.txt,0
nw_copy_01.txt,nw_copy_02.txt,0

cc_orig_01.txt,cc_copy_01.txt,1
cc_orig_01.txt,cc_para_01.txt,1
cc_orig_01.txt,cc_ind_01.txt,0
cc_copy_01.txt,cc_para_01.txt,1
cc_copy_01.txt,cc_ind_01.txt,0
cc_para_01.txt,cc_ind_01.txt,0

cc_orig_02.txt,cc_copy_02.txt,1
cc_orig_02.txt,cc_para_02.txt,1
cc_orig_02.txt,cc_ind_02.txt,0
cc_copy_02.txt,cc_para_02.txt,1
cc_copy_02.txt,cc_ind_02.txt,0
cc_para_02.txt,cc_ind_02.txt,0

cc_orig_01.txt,cc_orig_02.txt,0
cc_para_01.txt,cc_para_02.txt,0
cc_copy_01.txt,cc_copy_02.txt,0
